date,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C)
08 23 2022,25.7,26.6,24.8,28.1,29.7,26.7
08 24 2022,26.3,28.8,24,31.6,34.7,28.4
08 25 2022,27.6,31.1,24.5,34,38.5,29.4
08 26 2022,27.5,30.8,24.6,33.6,38.8,29.5
08 27 2022,27.3,30,25.2,33.7,38.1,31.2
08 28 2022,27.4,31.5,25.4,33.1,38.9,30.1
08 29 2022,27.8,31,24.6,33.9,38.9,30
08 30 2022,27.1,29.6,25,33.1,36.8,30.5
08 31 2022,27.4,29.5,25.3,33.3,37.7,31
09 1 2022,27.2,29.2,25.3,31.7,33.2,30
09 2 2022,26.7,28,25.5,30.2,31.8,29.2
09 3 2022,26.6,28,25.5,29.9,32.1,28.1
09 4 2022,27.2,29.3,25.8,30.8,33.5,29.1
09 5 2022,27.4,29.9,26.3,31.9,35.3,29.4
09 6 2022,27.6,31.1,25.5,33.8,39.3,31.3
09 7 2022,28.2,32.3,24.9,34.3,39.7,29.4
09 8 2022,28.1,31.5,24.9,34.6,39.5,30.3
09 9 2022,26.8,30.6,24.2,32.5,38.5,28.8
09 10 2022,26.5,28.1,24.5,31.2,33.4,29.8
09 11 2022,27.3,29.1,25.2,31.8,34.7,30.1
09 12 2022,27.6,29.9,25.6,32.2,35.9,29.8
09 13 2022,28,30.1,26.3,32.6,35.9,31.3
09 14 2022,27.3,29.2,25.9,31.7,34,30.6
09 15 2022,27.3,29.5,25.6,31.8,34.8,29.2
09 16 2022,27,29.2,25.5,31.3,34.3,28.6
09 17 2022,26.8,29,24.9,31.6,34.7,29.4
09 18 2022,26.8,29.2,25.1,31.2,34.2,29.2
09 19 2022,26.2,28.3,25.4,30,32.3,28.3
09 20 2022,25.8,26.7,25.2,30.3,31.4,28.9
09 21 2022,26.2,28.6,24.7,31.2,35,29.6
09 22 2022,26.2,28.2,24,31.2,34.2,28.3
09 23 2022,25.8,29,23.5,30.8,35.4,28
09 24 2022,26.8,29.9,23.9,32.5,36.5,29.2
09 25 2022,26.5,28,25,30.7,33,26.1
09 26 2022,26.7,30.2,25.3,31.8,35.8,27.8
09 27 2022,26.8,30.2,25.2,32.3,37.2,30.3
09 28 2022,26.6,29.6,24.4,32.4,36.4,29.8
09 29 2022,26.9,30.5,24.5,32.8,38.7,30
09 30 2022,26.7,29.1,25,31.9,34.5,29.6
10 1 2022,27.3,31.6,24.5,32.7,36.5,29.8
10 2 2022,27.3,30.7,24.4,33,38.2,29.8
10 3 2022,26.8,30.4,24.9,32.4,36.1,30.3
10 4 2022,26.8,29.9,24,32.6,37.1,28.5
10 5 2022,27.2,30.1,25.2,32.9,38.2,30.2
10 6 2022,28.2,32,25.4,33.9,38.8,30.8
10 7 2022,27.2,30.4,24.9,33.1,37.2,30.5
10 8 2022,27.6,30.8,24.8,33.7,38.9,30.6
10 9 2022,27,30.2,25,32.9,38,29.7
10 10 2022,27.4,30.5,24.6,32.8,37.1,28.9
10 11 2022,27.5,30.8,24.6,32.9,37.6,29.2
10 12 2022,27.6,29.6,25,32.9,35.9,30.4
10 13 2022,27.6,30.9,25.7,33.8,39.1,30.7
10 14 2022,26.9,30,24.3,32.5,36.9,28.6
10 15 2022,27.7,30.2,24.8,32.2,35.5,29.5
10 16 2022,27.4,30,25.8,31.2,34.4,28.9
10 17 2022,26.9,28.9,25.5,31.2,33.8,29
10 18 2022,27.2,30.2,25.1,33.1,37.2,30.7
10 19 2022,26.6,29.8,24.5,32.4,37.3,29
10 20 2022,25.9,28.9,24.1,31.4,35.6,28.5
10 21 2022,27,30.5,24.3,33.1,37.6,29
10 22 2022,27.5,31.1,25,33.5,38,30.9
10 23 2022,27.1,29.9,25.1,33.5,38.4,31.1
10 24 2022,27.5,29.8,24.8,33.8,38.4,30.5
10 25 2022,26.4,28.7,25.1,32.1,35.4,30.7
10 26 2022,27.2,30.6,25,31.6,34.7,29
10 27 2022,27.5,32,24,32.1,37.6,27.5
10 28 2022,26.9,28.5,25.5,30.8,32.7,28.8
10 29 2022,25.3,26,24.9,26.8,29.4,25.4
10 30 2022,26.9,28.5,25.5,30,32.8,27.5
10 31 2022,27.5,29.9,25.5,31.1,33.3,29.1
11 1 2022,26.8,28.5,25.6,31.5,32.5,30.8
11 2 2022,27,29.8,24.1,32.6,36.6,29.4
11 3 2022,26.5,29.8,24.3,32.1,37.6,29.3
11 4 2022,26,29,23.7,31.7,36.1,28.6
11 5 2022,26.4,29.6,23.6,32.3,36.2,28.7
11 6 2022,27,29.6,24.1,32.8,36.8,29.6
11 7 2022,27,29.5,24.6,32.9,36.7,29.4
11 8 2022,26.3,27.5,25,32.1,33.7,30.7
11 9 2022,27.3,30.6,24.5,33.4,37.9,30.2
11 10 2022,27.4,30.6,24.7,33.1,38.2,30.1
11 11 2022,27.6,31,24.7,32.7,35.7,30
11 12 2022,27.2,30.5,24.8,33.3,37.9,30.4
11 13 2022,27.4,31.1,24.1,33.7,37.9,29.7
11 14 2022,27.7,31.5,24.7,33.4,36.5,30.3
11 15 2022,27.6,31,25,33.6,38.1,30.9
11 16 2022,27.7,31.5,25.1,32.7,36.3,30.6
11 17 2022,27.5,31,24.8,32.8,37.1,30
11 18 2022,26.8,29.9,24.6,32.2,36.9,29.4
11 19 2022,26.2,29.6,24.5,31.3,35.5,29.4
11 20 2022,26.7,29.6,24.5,31.6,35.6,29
11 21 2022,26.5,29.3,24.5,31.3,33.3,30
11 22 2022,27.3,30.2,25,31.7,34.2,28.5
11 23 2022,27.3,30.1,24.9,32.6,35.3,30.6
11 24 2022,28,31.9,24.5,32.9,37.6,29.9
11 25 2022,27.2,30.5,24.6,32.6,36,30.2
11 26 2022,27,30.8,24.1,32.7,37.9,29.3
11 27 2022,26.7,30.8,22.8,31.4,36.7,27.6
11 28 2022,27.2,29.9,23.6,32.2,35.9,28.5
11 29 2022,27.8,32.2,24.5,33.5,37.8,30
11 30 2022,27.6,31.7,24.6,33,37.3,30.4
12 1 2022,27.1,30.5,24.5,32,34.6,30.2
12 2 2022,27.5,31.4,24.6,32.4,35.8,30.1
12 3 2022,27.6,31.8,24.1,32.7,35.9,29.5
12 4 2022,27.4,31,24.8,32.9,36.6,30.5
12 5 2022,27.1,30.1,24.5,32.6,36.1,30.1
12 6 2022,27.3,31,24.1,32.3,37.6,29.6
12 7 2022,27.1,30.6,24,32.3,36.4,28.5
12 8 2022,26.9,29.2,24,32.2,34.9,29.4
12 9 2022,26.1,28.7,24.5,31.5,34.7,29.3
12 10 2022,25.7,28.6,24.5,30.7,32.7,29.7
12 11 2022,26.4,29,23.8,31.5,34.7,28.8
12 12 2022,27.1,29.2,24.4,32.2,35.2,29.5
12 13 2022,27,29.8,24.6,32.5,36.4,29.9
12 14 2022,26.7,30.1,25,32.2,35.6,29.9
12 15 2022,27.1,31.1,24.5,32.2,35.7,30.1
12 16 2022,27.7,32.1,25,32.7,35.9,30.7
12 17 2022,27.1,30.5,24.8,32.2,36,29.9
12 18 2022,26.6,29.2,24.9,29.7,31.4,27.8
12 19 2022,25.6,27.4,24.2,28.1,30.4,25.9
12 20 2022,25.1,27.5,23.6,28.8,32.4,25.1
12 21 2022,25.6,29.1,23.1,30.2,35.7,26.9
12 22 2022,25.5,27.9,23,29.4,33,26.4
12 23 2022,25.8,28.6,24.1,28.8,31.3,26.4
12 24 2022,24.8,27.7,23.2,27.3,29.1,25.6
12 25 2022,24.5,27,22.6,26.3,28.5,24.1
12 26 2022,24.4,27.7,21.8,26.6,29.5,24.4
12 27 2022,24.6,27.1,22,27.3,29.3,25.7
12 28 2022,25.1,29.2,22.3,28.1,31.4,25.2
12 29 2022,24.8,27.7,22.5,27.8,31.3,24.6
12 30 2022,26.3,30.8,23.3,30.5,36.1,26.7
12 31 2022,25.8,29,23.1,30.2,33.2,27
01 1 2023,26.1,28.8,23.2,31.4,34.7,28.2
01 2 2023,26.8,31.1,23.5,31.5,35.6,28.6
01 3 2023,25.9,28.8,23.9,30.6,34.9,28.4
01 4 2023,26,28.5,23.9,29.7,31.3,27.8
01 5 2023,24.8,27,23.6,29.9,32.9,27.9
01 6 2023,25,28,23.6,29.9,33.2,28.5
01 7 2023,25.5,29.4,23,29.1,32.2,27.1
01 8 2023,24.6,28.5,21.8,27.6,31,25.8
01 9 2023,25.1,29.5,21.6,28.6,34.1,24.8
01 10 2023,25.1,28.6,22.2,29,33.7,25.7
01 11 2023,25.4,29.4,22.5,29,33.6,25.8
01 12 2023,25.6,30.3,21.9,29.3,33.5,26.2
01 13 2023,25.5,29.1,22.6,29.7,34.2,26.6
01 14 2023,25.1,27.8,23.1,29.8,32.7,27.6
01 15 2023,24.6,27.5,23.2,29.5,33.9,28.2
01 16 2023,25.2,28.5,23.1,30,32.7,28.1
01 17 2023,25.8,29,23,30.2,32.1,27.1
01 18 2023,25.6,29,24,30.2,33.9,28.2
01 19 2023,26,29.5,23.7,29.6,32.3,27
01 20 2023,25.9,29.1,23.8,29.6,31.9,26.5
01 21 2023,25.6,28.4,23.8,29.7,32.1,27.8
01 22 2023,25.6,29,23.1,30,33.8,28
01 23 2023,26.4,31,22.5,30.5,35.5,26.8
01 24 2023,26.2,30.6,23.4,29.6,34.8,27.2
01 25 2023,25.4,29,23.4,27.7,31.4,26
01 26 2023,25.4,29.5,22.1,27.9,31.6,24.3
01 27 2023,25,27.5,23.9,28.4,31.5,26.2
01 28 2023,25.1,27.6,23,28.1,29.8,26.2
01 29 2023,24.5,27.8,22.3,27,29.3,25
01 30 2023,25.3,29,22.4,28.6,31.7,25.4
01 31 2023,25.5,28.6,23.1,28.4,30.3,27
02 1 2023,26.2,31,22.9,29.8,33.4,26.9
02 2 2023,26.5,31.1,23.8,30.9,35.8,28.8
02 3 2023,26.7,31.7,22.8,30.6,36,27.5
02 4 2023,26.2,30.8,23.1,29.5,34.5,27.5
02 5 2023,26.2,30.6,22.5,29.3,33.2,26.2
02 6 2023,26.4,29.5,23.7,31,34.8,28.1
02 7 2023,27,31,24.4,31.5,35.6,29.5
02 8 2023,26.5,30.5,23.4,30.8,35.2,28.2
02 9 2023,26.4,31.1,22.6,29.1,32.7,26.9
02 10 2023,26.6,31.9,22.1,30,35.7,26.1
02 11 2023,26.7,32.1,22.2,30,34.9,26.5
02 12 2023,27.2,32.1,23.6,30.5,35.7,27.8
02 13 2023,26.4,29.8,22.6,30.2,34.7,26.8
02 14 2023,26.3,29.8,22.4,30.2,34.4,26.7
02 15 2023,26.3,31.3,21.6,28.4,32.7,25.3
02 16 2023,26.2,29.8,23.6,28.5,31.9,26.1
02 17 2023,25.7,30.7,21.7,27.5,32,24
02 18 2023,26.4,31,22.9,28.8,32.6,24.6
02 19 2023,24.2,24.9,23.5,27.6,30,26
02 20 2023,25.9,29.3,23.4,30.8,35.7,27.9
02 21 2023,25.8,28.4,23.5,30.3,33.9,27.9
02 22 2023,25.8,28.8,22.2,29.5,33.7,25.4
02 23 2023,26.2,29.9,23,30.7,35.3,27.2
02 24 2023,26.7,30.2,23.4,31.7,36,28
02 25 2023,27.4,31.4,23.8,32.5,38.1,28.9
02 26 2023,27,30,25,30,33,27.3
02 27 2023,26.1,29.2,24.1,28.8,32,25.6
02 28 2023,25.9,29.8,23,28.7,32.9,26.4
03 1 2023,26.3,30,22.9,30.4,35.8,26.8
03 2 2023,25.9,29.8,23.9,29,33.7,26
03 3 2023,25.4,29.6,22,27.4,31.5,24.4
03 4 2023,25.3,30,21.4,28.3,34.5,24.5
03 5 2023,25.5,29.8,22.6,28.2,33.5,25.6
03 6 2023,25,30,20.8,27.4,34.1,22.9
03 7 2023,25.4,29.9,20.8,27.9,34.3,23.6
03 8 2023,25.6,29.5,22.2,29.1,34.9,25.3
03 9 2023,26,29.5,21.9,29.4,33.9,25.5
03 10 2023,25.5,29.1,22.2,28.8,33.8,26.1
03 11 2023,25.5,29.8,21,28.3,34.4,24.4
03 12 2023,26.1,31.1,21.6,29.4,35.1,24.9
03 13 2023,25,27.5,23,28.3,31.3,26.8
03 14 2023,26.1,30.6,22.2,29.3,35,26
03 15 2023,26.3,30.8,21.7,30.1,36.1,25.4
03 16 2023,27.3,32.5,23,30.8,36.1,27.2
03 17 2023,27.4,31.9,23.5,31,36.7,27.8
03 18 2023,27.3,32.2,22.8,30.6,36.2,26.5
03 19 2023,27.6,32.3,24,30.4,36.6,27.4
03 20 2023,27.1,31.9,23,29.8,35.8,26.9
03 21 2023,27.1,32,22.6,30.1,37.4,26.2
03 22 2023,28.2,34,22.6,31.1,37.6,26
03 23 2023,29,34.2,25,32.2,37.1,29.2
03 24 2023,28.9,34.2,23.8,32.5,37.8,28.4
03 25 2023,29.5,34.7,25.9,32.8,38.3,29.8
03 26 2023,29.1,33.6,25.4,33,38.8,29.5
03 27 2023,28.9,34.4,24.1,32.3,37.8,28.5
03 28 2023,28.6,33.5,24.4,32.4,38,28.9
03 29 2023,28.6,33.2,25,31.8,37.8,28.4
03 30 2023,28.6,33.2,24.9,32.5,38.4,29.2
03 31 2023,29,33.3,25.4,33.2,38.7,30.3
04 1 2023,29.4,34.2,25.6,33.7,37.8,30.9
04 2 2023,28.6,33.7,25,33.5,39.1,30.2
04 3 2023,28.1,32.8,24.9,32.7,38,28.7
04 4 2023,27.7,32.2,23.5,31.5,37.8,28
04 5 2023,28.4,33,25.1,30.8,35.8,28.2
04 6 2023,28.4,32.9,24.4,31.7,36.3,28.6
04 7 2023,28.8,32.7,25.5,32.5,37.1,29.1
04 8 2023,28.9,34.2,25,32.7,38,29.7
04 9 2023,28.6,33.3,25.5,32,36.3,29.3
04 10 2023,28.4,31.6,24.9,32.2,36.9,28.8
04 11 2023,28.2,32.2,24.6,31.8,37.3,28.8
04 12 2023,26.4,29.2,25,31.1,32.5,29.3
04 13 2023,25.4,27.5,24.4,29.5,32.3,26.6
04 14 2023,26.5,29.2,24.9,31.4,34.8,29
04 15 2023,27.7,30.8,24.7,33.2,37.6,30.2
04 16 2023,27.9,30.9,25.5,33.9,38.7,31.4
04 17 2023,28.1,31.4,25.4,33.9,39.9,30.8
04 18 2023,28.4,32.2,25,33.6,38.6,30.7
04 19 2023,28.8,32.7,25.4,34,39.3,30.8
04 20 2023,29.4,33.6,26.2,34.9,39.3,32.4
04 21 2023,28.3,32.8,25,33.9,39.9,28.7
04 22 2023,28.8,32.7,24.8,34.4,39.5,29.9
04 23 2023,28.7,33,25.1,34.5,40.6,28.5
04 24 2023,28.7,32.2,26.3,34.3,38.7,31.6
04 25 2023,28.9,32.8,26.1,33.6,39.1,29.9
04 26 2023,29.2,32.9,26.1,33.9,38.8,30.8
04 27 2023,29.5,34.3,26,33.3,37.6,30.5
04 28 2023,29.6,34.7,24.9,33.8,39.8,30
04 29 2023,29.3,34.2,25,34.5,40.2,29.4
04 30 2023,28.5,34.2,25.4,33.7,40.5,30
05 1 2023,29.8,34.5,25.4,34.7,40.6,30.1
05 2 2023,30.5,35.3,26.7,34.4,38.5,32.1
05 3 2023,30.2,35.6,26.8,34.3,39.1,32.1
05 4 2023,29.5,34,26.5,33.3,37.1,31.7
05 5 2023,30.1,35,26.3,33.7,38.3,30.8
05 6 2023,30.4,35,26.7,33.9,38.6,30.7
05 7 2023,30.6,35.5,27,34.6,39.7,31.6
05 8 2023,29.5,35.5,26.1,34.7,40.1,31.7
05 9 2023,29,33.7,25.9,34.5,39.8,31.4
05 10 2023,27.8,32.1,25.5,33.7,38.5,31.4
05 11 2023,28.6,31,26.1,33.7,36.6,31.1
05 12 2023,28.6,32.8,26.5,34,39.6,31.4
05 13 2023,29.3,33.5,25.3,34.8,40,30.9
05 14 2023,29.5,33.2,26.2,35.1,39.8,32
05 15 2023,29,32.7,26,34.5,38.7,31.8
05 16 2023,28.7,31.5,27.2,34.7,37.3,32.9
05 17 2023,29.2,32.2,26.2,35.2,38.9,32.8
05 18 2023,29.1,32.4,25.9,35.4,39.7,31.8
05 19 2023,28.9,31.5,26.4,35.3,39.5,32.5
05 20 2023,28.1,30.5,25.6,33.8,35.9,31
05 21 2023,28.2,30.9,26.4,34.2,38.5,31.9
05 22 2023,28.8,31.9,26.9,35.1,39.4,33
05 23 2023,28.5,31.9,26.2,34.7,39.2,32.2
05 24 2023,28.7,33.3,26,34.8,41.6,31.4
05 25 2023,28,32.5,25.5,34,40.7,30.4
05 26 2023,27.9,31.8,24.5,33.9,39.2,30
05 27 2023,28.3,32.5,24.9,34,39.4,29.7
05 28 2023,28.7,31.8,25.1,33.3,38.2,30.4
05 29 2023,30.5,33.4,28.4,34.1,37.3,32.7
05 30 2023,29.4,33.1,27.2,32.6,36,29.6
05 31 2023,28.5,31,26.6,31.5,33.8,29.1
06 1 2023,28.8,31,26.5,32.2,35.1,29.6
06 2 2023,27.7,30.1,25.5,31.9,34.8,28.8
06 3 2023,28,30.1,26,33.3,35.7,31.9
06 4 2023,28.2,32.4,25.9,34.3,39.7,32.3
06 5 2023,27.9,32.3,25.7,33.5,38.1,31
06 6 2023,27.7,31.6,25.2,33.8,39.6,30.7
06 7 2023,27.8,32.3,24.9,34.2,41.1,30.5
06 8 2023,27.6,31.2,24,33.3,38.7,28.1
06 9 2023,27.4,30.5,24.4,32.4,36.8,28.2
06 10 2023,27.3,29.4,25.5,31.1,33.9,29
06 11 2023,26.9,28,25.9,30.4,31.6,29.2
06 12 2023,27.2,29.4,25.5,31.7,33.6,29.8
06 13 2023,28.6,31,26.6,32.9,35.3,31
06 14 2023,29.2,31,27.7,34.1,35.9,32.5
06 15 2023,27.8,31,25,33.9,38.4,30
06 16 2023,28,30.8,25.4,33.6,36.3,30.8
06 17 2023,28.8,32.4,25.3,33.5,37.7,30.5
06 18 2023,28.7,32.6,25.3,34.1,38.4,30.3
06 19 2023,28.4,32,25.6,34.5,39.8,30.3
06 20 2023,28.3,31.8,25.2,34.4,39.8,30.8
06 21 2023,28.4,32.2,25.7,34.6,40.5,31
06 22 2023,28,33.4,24.8,33.7,39.9,29.3
06 23 2023,28.1,31.8,24.5,34.3,39.9,29.7
06 24 2023,28.3,32,25.1,33.3,36.5,30.8
06 25 2023,27.5,30.1,25.5,33.2,37.6,30.5
06 26 2023,27.4,29.5,25.9,33.1,35.5,31.1
06 27 2023,27.9,30.7,25.6,33.9,38.2,31.4
06 28 2023,27.8,32.2,25.4,33.4,38.9,30.4
06 29 2023,27.7,31.1,25.4,33.1,38.3,30.6
06 30 2023,28.2,30.1,26.2,33.7,36.1,31.8
07 1 2023,28.6,33.9,26.1,34.6,40.2,30.8
07 2 2023,28.3,31.9,26,34.4,38.4,31.9
