date,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C)
07 24 2023,26.7,29.6,24.6,31.9,35.6,29.3
07 25 2023,28,30.5,26.7,31.8,35.8,29
07 26 2023,27.2,28.2,26.1,29,30.9,27.2
07 27 2023,26.7,28.4,25,28.8,30.8,26.5
07 28 2023,26.8,28.6,25.5,29.8,32.1,28.2
07 29 2023,26.8,29,25,30.1,33.3,28.6
07 30 2023,26.7,28.8,25.4,30.2,32.4,28.5
07 31 2023,27.3,29.5,25.7,30.9,33,29.7
08 1 2023,27.3,29,26.1,30.4,32.8,28.8
08 2 2023,26.9,28.6,26,29.5,31.4,28.5
08 3 2023,27.3,29.5,25.6,30.1,32.4,28.2
08 4 2023,28.1,30,26.2,31.6,34.4,29.2
08 5 2023,28.3,30.5,26.5,31.6,34.5,29.3
08 6 2023,28.6,30.1,27.1,31.4,33.5,29.8
08 7 2023,28.3,30.1,26.2,31.6,33.3,30
08 8 2023,28.5,30.6,26.4,32.9,35.1,31
08 9 2023,28.3,31,26.4,33.5,38.1,30.6
08 10 2023,28.2,30.9,26.4,34.1,37.4,31.7
08 11 2023,28,30.3,26.4,32.9,36.3,30
08 12 2023,28,30.1,25.6,33.7,37.2,31.8
08 13 2023,28.6,30.8,26.1,33.9,37.8,31.8
08 14 2023,28.7,31,26.9,34.1,37.7,32
08 15 2023,28.5,31.5,26.4,34.5,38.1,31.9
08 16 2023,28,31.1,25.2,33.7,37.8,31.1
08 17 2023,27.7,30.4,25.6,33.1,35.3,31.2
08 18 2023,27.9,30.1,26.2,32.6,36.4,30.4
08 19 2023,28.2,30.8,26.2,34.1,38.7,31.6
08 20 2023,28.8,31.1,26.6,34.1,37.6,32.2
08 21 2023,27.9,31.1,25.2,33.6,37.8,30.7
08 22 2023,27.2,30.5,25.5,32.8,37.5,30.7
08 23 2023,27.3,30.3,25.4,32.7,37.6,30.8
08 24 2023,27.3,30,25,32.2,35.1,30.5
08 25 2023,27.7,30.5,25,32.7,37.1,30.6
08 26 2023,27.5,29.5,26.5,31.1,33.8,29.7
08 27 2023,27.2,28.8,26.2,30.3,31.4,29.1
08 28 2023,28,30.1,26.7,32.1,35.6,29.7
08 29 2023,27.2,29.2,26,29.7,32.3,28.2
08 30 2023,26.8,28.5,25.6,29.4,31,27.8
08 31 2023,26.6,28.4,24.9,29.7,32.1,27.6
09 1 2023,26.9,28.1,25.6,29.5,31.5,28.4
09 2 2023,26.9,28.9,25.5,29.7,31.9,28.1
09 3 2023,27,28.5,25.8,29.6,31.5,28.2
09 4 2023,26.8,27.5,26,30.1,31.4,28.6
09 5 2023,27.1,29.4,26,31.5,33.6,29
09 6 2023,27.7,31,25,33.8,38,30.8
09 7 2023,27.5,32.2,24.6,33.8,40.2,30.1
09 8 2023,28,31.6,24.8,34,39.5,30.3
09 9 2023,27.8,31,24.6,34,39,29.9
09 10 2023,27.8,31,25.1,33.8,38.2,30.6
09 11 2023,27.6,30.1,25,33.3,37.1,30.4
09 12 2023,27.1,30.1,25,32.8,37.2,30.1
09 13 2023,26.9,28.5,25.2,32,35.2,30.4
09 14 2023,26.9,30.5,25,32.5,38.2,29.8
09 15 2023,27.2,30.4,25.1,33.2,38.5,30.7
09 16 2023,27.5,31.2,24.9,33.5,38.5,30.2
09 17 2023,26.9,31.1,24.9,32.7,38.9,29.5
09 18 2023,27.6,31,24.5,33.6,38.4,29.9
09 19 2023,27.3,31.6,24.4,33.3,39.5,29.6
09 20 2023,28.1,31.8,24.9,34.2,39.9,30.4
09 21 2023,27.9,32.1,25.4,33.9,39.9,30.6
09 22 2023,26.4,28.5,24.8,32.3,34.3,30.6
09 23 2023,26.3,28.1,24.8,31.7,33.7,30.5
09 24 2023,27.3,30.4,24.7,33.4,37,29.8
09 25 2023,27.1,29.6,25.5,33.1,36,30.5
09 26 2023,27,30,24.6,32.8,37.3,29.8
09 27 2023,26.9,30,24.8,32.6,37.4,30
09 28 2023,27.1,31.1,24.7,33.2,39.2,29
09 29 2023,27.3,31.4,24.2,33.6,40,28.8
09 30 2023,27.6,30.5,25.3,33.8,37.6,31.5
10 1 2023,27.8,30.8,26,33.6,36.4,31.6
10 2 2023,27.4,29.9,25.5,32.2,35.2,30.1
10 3 2023,27.3,29.5,26,31,33.5,29.2
10 4 2023,27.2,29.1,26.3,31,32.9,29.9
10 5 2023,26.7,28.5,25.5,30.6,32,29.5
10 6 2023,27.1,29.1,25.4,31.6,33.7,29.8
10 7 2023,27.5,30.2,24.9,33.1,36.9,29.9
10 8 2023,27.5,30.9,25.2,33.7,38.9,29.7
10 9 2023,27.6,31.1,24.8,33.7,38.9,30.1
10 10 2023,27.8,30.1,25.3,33.8,38.1,30.4
10 11 2023,26.9,28.6,25.2,32.4,34.6,30.1
10 12 2023,27.2,29.7,24.4,33.1,37.1,29.6
10 13 2023,27.9,30.9,25.1,34.4,39.2,30.8
10 14 2023,27.8,30.7,25.6,33.5,38.6,30.8
10 15 2023,27.7,30.9,24.9,33.1,36.1,30.3
10 16 2023,26.8,29.8,23.9,32.1,36,28.5
10 17 2023,27.4,30.5,24.9,33.4,38.5,30.5
10 18 2023,27.8,31,24.8,33.9,38.2,30.3
10 19 2023,26.8,29.4,25.4,32.8,36.1,30.9
10 20 2023,27.1,29.5,24.6,33.1,36.4,29.4
10 21 2023,25.8,28.2,24.3,31.6,34.3,29.5
10 22 2023,26.2,28.1,24.6,31.9,34,30
10 23 2023,25.9,28,24.6,31.6,33.7,30.3
10 24 2023,26.2,30.5,23.9,32.2,38.7,28.8
10 25 2023,27.7,31,24.5,34,38.5,30.2
10 26 2023,27.6,30.5,25.4,33.9,38.6,30.9
10 27 2023,26.8,30.8,24.6,32.5,39.1,30.2
10 28 2023,27.3,30.4,24.1,33.4,38.1,29.3
10 29 2023,27.9,31.5,24.9,33.7,39,30.5
10 30 2023,28,32.7,24.6,32.9,37.6,29.2
10 31 2023,27.9,31.6,25,32.2,36,28.7
11 1 2023,26,28.6,24.4,31,33.8,27.7
11 2 2023,26.3,28.4,24.2,32.3,35.2,29.7
11 3 2023,27,31.1,24.1,33,39.5,29.4
11 4 2023,27.6,30.9,24.5,33.8,38.3,29.9
11 5 2023,27.4,30.9,24.8,33.7,38.5,30.1
11 6 2023,27.9,31.3,24.6,34.1,39.6,30.3
11 7 2023,27.8,31.5,25,33.2,37.9,30.3
11 8 2023,27.6,30.6,25.5,33.1,36.3,30.6
11 9 2023,28.1,32.1,25.2,33.7,38.6,30.9
11 10 2023,27.8,32.1,24.6,33.4,39.5,29.7
11 11 2023,27.7,31.4,24.7,33,36.2,30.1
11 12 2023,28,31.4,25.1,33.7,38.5,31.2
11 13 2023,27.7,30.9,25.4,32.7,35.8,30.8
11 14 2023,27.6,30.8,25.4,32.5,34.8,29.9
11 15 2023,27.7,31,25.7,32.1,35.6,30.1
11 16 2023,28,32,25.4,32,35.8,28.5
11 17 2023,27.9,32.5,25.3,31.2,35.5,29
11 18 2023,27.5,31.5,24.8,30.8,34.9,27.6
11 19 2023,27.1,30.9,24.8,29.9,33.7,26.5
11 20 2023,27.4,31.6,24.5,31.4,35.9,27.7
11 21 2023,27.4,31.5,24.5,31.4,36.2,27.5
11 22 2023,27.1,30.9,23.9,31.2,36.5,27.4
11 23 2023,26.5,30,24.1,31.5,34.9,28.3
11 24 2023,27.5,31.5,24.5,32.9,36.4,30.1
11 25 2023,26.7,28.5,25,31.2,32.8,29.3
11 26 2023,27.4,30.9,24.5,31.7,34.5,28.8
11 27 2023,27.9,32.6,24.4,32.6,37.4,29.7
11 28 2023,28,32.4,24.8,32.7,36.6,30.6
11 29 2023,28,32,25.2,32.7,36.4,29.8
11 30 2023,28.5,32,26,32.8,35.1,30.8
12 1 2023,28.2,31.8,25.6,32.6,34.6,31.3
12 2 2023,28.2,32.4,25.6,32.4,35.3,30.2
12 3 2023,27.7,31.6,25,32,35.1,29.4
12 4 2023,28.3,33.2,24.7,32.6,36.8,29.5
12 5 2023,27.8,31,25.4,33.6,37.7,30.2
12 6 2023,27,31.2,25,32.7,37.8,30.2
12 7 2023,27.1,30.6,24,32.4,37.3,29.6
12 8 2023,28,31.8,25.7,32.7,36.6,30.3
12 9 2023,27.3,31.4,23.7,31.9,37.2,28
12 10 2023,27.8,32.5,23.9,32.1,37,28.8
12 11 2023,27.1,30.6,24.2,32.1,36.4,29.3
12 12 2023,28.1,33.3,24.5,32.4,36.5,29
12 13 2023,28.2,32.9,25.6,32.9,36.5,30.6
12 14 2023,27.9,31,25.4,31.2,33.8,28.6
12 15 2023,27.3,31.1,24.5,31.4,33.7,28.7
12 16 2023,26.1,29.1,23.6,31.1,36,28.3
12 17 2023,27.2,30.8,24.5,30.1,33.4,28.3
12 18 2023,26.9,30.7,24.5,31,34.8,27.8
12 19 2023,27.5,32,24.5,31.6,35.6,28.9
12 20 2023,27.9,31.6,25,32.9,36.7,30.8
12 21 2023,27.3,30.5,25.2,32.5,36,29.6
12 22 2023,25.9,28.3,23.9,28.8,31.5,26.2
12 23 2023,25.2,28,22.9,27.6,30.7,24.2
12 24 2023,26.6,30.2,24.2,30.1,33.6,26.3
12 25 2023,26.6,30,24.5,29.8,33,26.6
12 26 2023,26.6,30,24.5,30.7,33.9,28.3
12 27 2023,26.8,31,24.1,31.8,35.8,29.2
12 28 2023,27.1,31.5,24,31.8,35.2,28.7
12 29 2023,27.1,31.5,23.8,31.6,34.7,29
12 30 2023,27.5,31.8,24.4,32.2,35.5,29.8
12 31 2023,26.7,30.2,24.1,32.4,37.2,29.4
01 1 2024,26.6,30.2,23.9,32.3,36.6,28.6
01 2 2024,26.6,30.1,24.4,32.1,35.7,29.7
01 3 2024,27.1,30.6,24.2,32.6,36.8,29.4
01 4 2024,27.7,31.6,25.1,31.9,35.1,29.7
01 5 2024,27.4,31.2,24.7,31.7,35.9,28.7
01 6 2024,27.2,31.6,23.8,31,35.6,27.7
01 7 2024,27.1,31,24.6,30.3,34.2,28
01 8 2024,27.3,31.4,24.7,31,34,28.6
01 9 2024,26.8,31.1,23.5,31.5,36,27.4
01 10 2024,27.1,30.9,24.5,32,36.5,29.3
01 11 2024,26.8,30.8,24.2,30.8,34.2,28.3
01 12 2024,26.3,30.2,23.8,29.2,32.6,27.4
01 13 2024,26.7,30.4,23.9,29.1,32.1,26.9
01 14 2024,26.8,31,24,29.3,33,26.3
01 15 2024,26.7,30.9,23.6,29.4,33,26.9
01 16 2024,26.2,30.6,23,28,31.6,26.6
01 17 2024,26,30.9,23,27.6,31,25.2
01 18 2024,26,31.4,21.8,28.3,33.7,23.5
01 19 2024,26.8,31.9,23.2,29.9,34.4,27
01 20 2024,26.4,29.8,23,30.1,35,26.3
01 21 2024,27.2,31.1,24,31.3,36.5,28.1
01 22 2024,26.9,31,24.1,31,35,28.8
01 23 2024,26.3,29.2,24,31,33.7,28.5
01 24 2024,26.4,30,24.2,28.7,30.6,26.3
01 25 2024,25.9,30,23.5,28,32.4,25.3
01 26 2024,25.2,28.9,22.5,27,30.2,25.2
01 27 2024,24.7,29.1,21.1,25.9,29,22.6
01 28 2024,24.9,29.6,21.2,26.1,29.8,23.5
01 29 2024,25.5,30.2,22.6,26.8,30.7,25.2
01 30 2024,25.8,31.4,20.8,27.4,31.9,23.5
01 31 2024,26.3,30.9,22.4,28.7,33.2,25.4
02 1 2024,27.1,32.8,23,30,34.2,26.5
02 2 2024,27.5,32.6,23.8,30.3,34.7,28.3
02 3 2024,27.6,33.6,23.3,30.4,35.3,27.7
02 4 2024,28.3,34.2,24.1,30.8,36.5,27.5
02 5 2024,27.9,33.3,23.9,31,37.1,27.6
02 6 2024,27.5,32.8,23.5,30.7,36.7,27.2
02 7 2024,27.5,32.7,23,30.1,36.8,26.7
02 8 2024,27.4,31.8,22.6,30.6,35.4,26.4
02 9 2024,27.4,31.4,23.9,30.9,36,27.6
02 10 2024,27.5,32,24.2,30.3,34.5,27.9
02 11 2024,27.2,32.2,23.9,29.2,33.8,26.6
02 12 2024,26.4,31.3,23.5,27.9,31.6,26.5
02 13 2024,27.1,32,23.8,28.6,32.9,23.8
02 14 2024,27.9,33.8,24.1,30.4,35,28.3
02 15 2024,27.9,32.8,23.6,31,37,27.5
02 16 2024,27,30.5,23.8,30.4,34.4,27.8
02 17 2024,27.8,33.5,23.7,29.5,34.6,26.1
02 18 2024,28.1,34,23.9,30.7,36.7,27.1
02 19 2024,28.3,33.5,25,29.9,34.6,27.5
02 20 2024,28.2,33.9,24.2,30.2,35,27.5
02 21 2024,28.2,33.2,24.8,29.7,33.7,25.8
02 22 2024,28.5,34.3,23,31.1,36.4,27.1
02 23 2024,28.2,34.2,23.5,30.9,36.1,27.5
02 24 2024,28.8,35,24.2,31.6,37.4,27.8
02 25 2024,28.4,32.8,26.1,31.4,36.4,28.6
02 26 2024,27.8,32.5,24.8,29.1,33.5,26.7
02 27 2024,27.2,32.8,22.9,28.6,33.3,26.4
02 28 2024,27.1,32.7,22,28.1,33.1,25
02 29 2024,27.8,34.3,23.4,29.6,35.1,26.1
03 1 2024,27.7,32.4,23.2,30.2,34.7,26.5
03 2 2024,27.6,32,23.5,29.8,34.3,26.6
03 3 2024,27.5,33.3,23.2,29.2,35.4,25.8
03 4 2024,27.9,32.7,23.9,30.8,36.8,27.1
03 5 2024,28.8,33.8,25.2,30.5,35.3,27.7
03 6 2024,28.2,34,23.1,31.3,37.3,26
03 7 2024,28.1,33,24,31.4,36.6,28.7
03 8 2024,27.8,32.2,24.6,30.8,36.7,27.6
03 9 2024,27.8,32.3,25,30.7,35,28.8
03 10 2024,27.8,33,24.4,30.4,35.2,27.3
03 11 2024,27.9,32.3,24.7,30.5,33.7,26.8
03 12 2024,27.3,31.8,24.3,31.9,35.9,28.7
03 13 2024,27.6,31.8,24.8,31.2,36,28.4
03 14 2024,27.5,31.9,24.2,30.7,35.5,27.8
03 15 2024,27.2,31.1,24.4,30.9,34.8,28.6
03 16 2024,27.9,32.8,24.4,31.2,35.5,28.8
03 17 2024,27.6,31.5,24.3,31.3,36,27.9
03 18 2024,27.7,32.6,23.8,30.6,37,27.3
03 19 2024,27.6,32,23.6,31.2,36.5,27.3
03 20 2024,27.5,32.2,24.2,30.8,35.3,28.5
03 21 2024,26.5,30.7,24,29.3,32.4,26.9
03 22 2024,26.7,31,23.8,28.9,32.3,26.3
03 23 2024,27.6,31.9,24.6,30.3,34.6,27.7
03 24 2024,28.7,34.2,24.9,31,37,27.1
03 25 2024,28.9,34.7,24.8,31.6,38.2,28.2
03 26 2024,29.1,34.2,24.9,33.4,39.6,28.7
03 27 2024,28.6,33.6,25,33.3,38.9,29.7
03 28 2024,29.6,35.5,25.2,33.8,39.9,29.9
03 29 2024,28.9,33.8,25.5,33.4,39.7,30.6
03 30 2024,29.3,35.1,25.5,32.3,38.6,28.4
03 31 2024,29.1,35.3,23.6,31.7,39,26.4
04 1 2024,30,35.5,25.5,32.4,38.7,28.7
04 2 2024,30,35.8,25.7,31.8,37.2,28.8
04 3 2024,29.7,35.8,25.5,32,38.7,28.3
04 4 2024,29.6,34.9,24.7,33.1,39.6,28.6
04 5 2024,30.1,36,25.4,32.7,37.9,29.6
04 6 2024,29.8,35,26,32.9,37.8,30.1
04 7 2024,29.7,34.5,25.4,32.7,37.1,29.6
04 8 2024,29.6,35,25.1,32.6,39.1,29
04 9 2024,29,35.2,23.2,32.4,38.3,26.7
04 10 2024,29.9,35.2,25.6,33.4,39.6,29.7
04 11 2024,30.2,36.2,26.1,33,39.3,28.8
04 12 2024,30.1,35.8,25.6,32.9,39.5,29.2
04 13 2024,29.8,35.8,24.6,32.9,38.6,28.6
04 14 2024,30.1,35.2,25.1,33.7,39.9,28.9
04 15 2024,30.2,34.7,26.5,33.9,39.1,30.5
04 16 2024,30.2,35.7,25.2,33.2,40.3,28.3
04 17 2024,29.9,35.5,24.4,32.9,39.8,27.6
04 18 2024,30.4,36.2,25.8,34.1,39.8,29.5
04 19 2024,31.1,36.1,26.4,33.6,38.7,29.6
04 20 2024,30.9,37,25.7,33.2,38.4,28.7
04 21 2024,31,36.3,27,33.2,37.7,30.1
04 22 2024,30.9,36.5,26.1,34,39.7,30.2
04 23 2024,31.4,36.4,27.2,35.7,40.6,31.5
04 24 2024,31.2,36.8,27.5,36.5,43.1,33
04 25 2024,31.4,36.7,27.6,36.1,41.7,32
04 26 2024,31.9,37.3,27.8,35.5,41.1,32.6
04 27 2024,31.8,37.4,27,35.8,42.1,30.8
04 28 2024,32.5,37.2,28.8,36.5,41.1,33.4
04 29 2024,32.6,37.6,29,36.1,42.1,32.4
04 30 2024,32,38.2,27.2,34.8,41,30.5
05 1 2024,31.5,36.7,27.3,36.2,41.9,32.5
05 2 2024,31.6,37.3,27.5,35.1,40,31.8
05 3 2024,31.3,37.1,26.6,34.2,40.4,30.6
05 4 2024,31.4,37.2,27.2,34.6,40.4,31.1
05 5 2024,31.5,36.5,27,35.7,42.5,31.7
05 6 2024,31.7,36.4,28.4,35.8,41.3,32.8
05 7 2024,31.8,37.5,27.6,34.8,40.3,31.3
05 8 2024,31.4,35.8,27.8,35.7,41.7,32
05 9 2024,31.7,36.8,27.8,35.7,42.2,31.4
05 10 2024,31,35.8,27.6,35.7,42.1,32.3
05 11 2024,30.5,35,27.8,35.5,41.5,31.9
05 12 2024,31.7,35.6,27.9,36.5,41.8,32.4
05 13 2024,30.7,35.3,26.2,36.3,42.2,30.9
05 14 2024,29.9,34.8,25.5,35.7,41.3,30.9
05 15 2024,29.9,34.7,26.9,35.5,41.5,30.7
05 16 2024,29.4,35.1,25.9,35,41.4,31.5
05 17 2024,29.6,34.8,26.8,34.8,40.4,32
05 18 2024,29.8,34.5,25.9,35.6,41.4,31.5
05 19 2024,29.3,33.4,27.2,35.2,40.9,32.7
05 20 2024,29.9,34.3,26.8,35.3,40.1,31.7
05 21 2024,30.5,35.7,27,36,41.1,32.3
05 22 2024,30.7,34.8,27.4,36,41.2,32.5
05 23 2024,31.4,35.7,27.8,35.3,40.1,32.2
05 24 2024,30.8,35.5,28,36.4,42.6,33.4
05 25 2024,29.4,33.5,25.6,34.9,38.2,28.9
05 26 2024,26.2,27,25.5,29.8,32.3,27.7
05 27 2024,27.9,29.5,26.1,32.2,33.5,30.8
05 28 2024,28.4,30.3,27.5,33.1,35.7,31.7
05 29 2024,28.3,31.2,26.8,34.1,39.5,31.2
05 30 2024,29.4,33.2,26,35.6,39.7,32.1
05 31 2024,30.5,34.1,27.5,36.1,40.3,32.6
06 1 2024,30.3,34.3,27.2,37.1,42.2,34.1
06 2 2024,29.4,33.9,26.9,35.8,41.6,32.9
06 3 2024,29.2,32.2,27,35.9,39.7,32.7
06 4 2024,29.5,32.7,27.2,35.2,39.3,32.4
06 5 2024,28.2,31.5,26.5,34.2,38.6,32.3
06 6 2024,27.6,31.5,25.5,33.6,39,30.8
06 7 2024,27.3,30.8,25,33.4,38.6,30.7
06 8 2024,27.7,30.5,25.1,33.9,39,30.9
06 9 2024,28.6,32.3,26.9,34.4,40.2,31.9
06 10 2024,28.5,32.7,25.9,34.5,39.5,31.2
06 11 2024,29,32.2,25.6,35.5,40.3,31.8
06 12 2024,29.3,32.2,27.3,36.1,40.4,33.9
06 13 2024,29.2,32.4,26.5,35.8,40.4,32.9
06 14 2024,29.1,32.8,26.5,35.6,40.7,31.9
06 15 2024,28,32,24.9,33.9,39.6,30.2
06 16 2024,27.9,32,25.1,33.8,39.9,30
06 17 2024,27.6,30.9,25.4,33.6,38.5,30.6
06 18 2024,27.8,31,25.5,34,39.3,30.6
06 19 2024,28.1,32,26.1,34.2,39.9,31.9
06 20 2024,27.9,31.3,24.6,33.5,37.7,29.7
06 21 2024,27.4,31.5,25.2,33.2,38.3,30.1
06 22 2024,28,32.2,25.3,34.2,39.8,30.9
06 23 2024,27.2,30.4,25.1,32.9,37.1,30.1
06 24 2024,27.6,31.2,24.8,33.4,39.6,30.1
06 25 2024,28.2,31.5,25.1,33.3,36.6,31.2
06 26 2024,28.3,31.8,26,33.4,37.9,31.3
06 27 2024,28.1,31,26,33.1,35.7,31.2
06 28 2024,28.8,31.8,26.5,34.2,38.3,31.6
06 29 2024,28.8,32.8,25.9,34.9,39.5,30.6
06 30 2024,27.9,31.9,25.6,34.2,40.2,31
07 1 2024,27.6,30.9,25.3,33.9,38.4,30.9
07 2 2024,27.7,31.3,25.6,33.5,38.5,31.8
07 3 2024,28.6,33.1,25.8,33.9,38,30.9
07 4 2024,27.9,30.8,25.9,34,38.8,31.6
07 5 2024,26.6,29.1,24.4,32.4,35.8,29.2
07 6 2024,27.8,32.2,24.5,33.2,37,30.1
07 7 2024,27.9,32.1,25.3,33.1,38.1,29.4
07 8 2024,27.3,30.7,25.2,33.3,38.4,30.7
07 9 2024,27.4,31.2,25,33.6,40.1,30.3
07 10 2024,27.6,30.4,25,33.4,37.2,30.6
07 11 2024,27,31.2,24.9,32.6,37.9,30
07 12 2024,27.2,31.8,24.5,33.1,39.7,29.4
07 13 2024,27.7,30.6,24.7,32.7,36,30.1
07 14 2024,27.9,31.2,24.9,32.3,35.4,29
07 15 2024,27,30.5,25,32.1,36.9,30.2
07 16 2024,28,31.4,25.1,32.6,35.3,30.5
07 17 2024,27.3,30.5,25.7,33.2,38.2,30.5
07 18 2024,27.1,30.9,25.6,33.2,38,31.1
07 19 2024,27.2,30.6,25,32.4,36.4,30.3
07 20 2024,28,30.5,25.2,33.7,37.7,30.1
07 21 2024,27.7,29.8,26.2,32.4,34,30.8
07 22 2024,26.6,27.5,26,30.1,31.6,28.9
07 23 2024,26.2,26.5,25.8,28.3,29.8,26.8
07 24 2024,26.3,27.5,25.4,28.2,29.8,26.7
07 25 2024,26.8,28.2,25.2,29,31.1,27.2
07 26 2024,28.2,30.9,26.1,32.8,35.7,30.8
07 27 2024,28.2,31.1,25.5,34.1,38,31
07 28 2024,26.5,28.2,25.1,32.1,34.7,31.1
07 29 2024,26.9,29.1,24.6,32.3,34.7,30.1
07 30 2024,27.9,30.6,25.3,33.8,37.7,30.9
07 31 2024,27.8,30.6,25.1,33.9,38.1,30.7
08 1 2024,27,30.1,25.1,33,37.8,30.6
08 2 2024,26.7,30.2,24.1,32.4,37.1,29.3
08 3 2024,26.7,30.2,24,32.4,37.3,28.7
08 4 2024,27,30,24.6,32.7,36.6,29.6
08 5 2024,26.9,29.1,25.4,31.9,35.1,29.8
08 6 2024,27.1,29.2,25.4,31.7,34.4,29.6
08 7 2024,28.2,30.3,26.5,32.9,36.4,30.7
08 8 2024,27.8,29.9,26.7,32.4,35.5,30.4
08 9 2024,28.3,30.5,26.2,32.9,35.1,31.8
08 10 2024,27.2,28.6,26.1,32.1,33.3,30.4
08 11 2024,27.8,30.2,25,33.3,36.8,30.7
08 12 2024,28.3,31,25.4,33.8,37.7,31.1
08 13 2024,28.9,31.4,26,34.6,38.2,31.9
08 14 2024,28.5,31.4,26.6,34.9,38.7,32.2
08 15 2024,28.3,31.2,26.1,34.8,38.6,32.6
08 16 2024,28.4,31.4,25.9,34.7,38.7,32.1
08 17 2024,28.6,32.7,25.5,34.5,39.7,31
08 18 2024,28.9,32.2,25.7,35.3,40.2,31.8
08 19 2024,28.6,32.7,26,34.6,40.7,30.7
08 20 2024,28.5,32.4,26.4,34.8,39.7,32.5
08 21 2024,28,32.3,25.6,34.7,41.9,30.5
08 22 2024,28.3,31.8,24.6,34.6,40.4,30.2
08 23 2024,27.6,31.1,25.8,34.1,39.5,32.1
08 24 2024,26.5,28.8,24.7,32.4,35,30.2
08 25 2024,27.3,30.5,25,33.5,38.1,30.7
08 26 2024,27.2,30.1,25.5,32.8,37.4,30.9
08 27 2024,26.9,29.7,25,31.8,35.4,29.5
08 28 2024,26.4,27.9,25.1,30.9,32.5,29.7
08 29 2024,27.3,30,25.8,33.3,38.4,30.7
08 30 2024,27.6,31,26.2,33.4,38.5,30.7
08 31 2024,28.3,31.5,25.4,34.7,39.3,30.8
09 1 2024,26.9,30.5,24.1,33,38.3,28.6
09 2 2024,25.7,26.5,24.5,29.4,30.4,28.4
09 3 2024,26.8,28.8,25.4,29.5,32.3,28.1
09 4 2024,26.3,27,25.7,28.8,29.6,27.8
09 5 2024,26.8,28,25.9,30.5,32.2,28.2
09 6 2024,27.5,29.5,25.4,33.3,34.9,31.2
09 7 2024,28.5,31.8,24.9,34.3,39.5,29.9
09 8 2024,28.5,31.5,25.4,34,38.2,31
09 9 2024,27.4,29.2,25.9,33,36.5,31.6
09 10 2024,27.8,30,25.5,33.4,37.2,31.1
09 11 2024,27,30.1,25,32.9,37.4,30.5
09 12 2024,27.1,30,25.2,32.9,36.9,31
09 13 2024,26.6,28.9,24.9,32.3,35.5,30.3
09 14 2024,26.9,29.6,25.3,32.7,37,31
09 15 2024,26.9,29.1,24.5,31.9,34.1,29.3
09 16 2024,27.3,29.5,25.1,32.5,34.2,31.1
09 17 2024,26.9,29,25.5,31.3,33.2,29.6
09 18 2024,26.7,29.2,25,31.7,33.7,30.5
09 19 2024,27.3,30.5,25,32.3,36.1,30.2
09 20 2024,27.4,29.4,25.8,32.2,33.8,31.4
09 21 2024,26.3,29.2,24.8,31.8,34.4,30.2
09 22 2024,26.9,30.2,25.3,32.3,36.6,30.1
09 23 2024,28.2,32.5,24.6,34.3,40.1,29.8
09 24 2024,27.1,31,24.5,33.4,39.4,29.1
09 25 2024,28.2,31.5,24.6,34.8,40.6,30.2
09 26 2024,28.2,31.5,25.9,34.3,39,31.2
09 27 2024,28.4,30.5,26.7,34.7,37.8,32.4
09 28 2024,28.6,31.5,25.2,33.5,36.5,31
09 29 2024,27.9,29.2,26.9,31.7,33,30.6
09 30 2024,27.5,29.1,26.4,30.6,33.8,29.2
10 1 2024,28,30.1,26.2,32.1,34.7,29.8
10 2 2024,28.1,30.6,25.1,33.8,37,30.8
10 3 2024,28.4,31.5,25.5,34.6,39.1,31
10 4 2024,27.6,30.5,25.8,33.8,38.1,30.4
10 5 2024,26.7,29.8,24.5,32.7,37.9,29.9
10 6 2024,26.2,28.5,24.4,31.9,35.4,29.8
10 7 2024,26.1,28.2,24.4,32.1,35.4,29.2
10 8 2024,27.3,30,25.1,33.3,37.2,30.6
10 9 2024,27.1,30.6,24.6,33.4,39.2,30.2
10 10 2024,26.8,30.6,24.9,32.9,38.6,30.3
10 11 2024,26.8,30.9,24.2,33,40.1,29.4
10 12 2024,26.7,30.4,24.4,32.6,39.1,29.7
10 13 2024,27.4,29.7,25.1,33.4,36.7,30.9
10 14 2024,27.6,30,25.1,34.1,38.9,30.5
10 15 2024,27,29.9,25.1,33.1,36.6,30.2
10 16 2024,27.5,30.7,24,33.5,37.9,29.5
10 17 2024,27.7,30.6,24.7,33.5,38.1,30.3
10 18 2024,27.5,30.4,24.9,33.6,38.3,30.5
10 19 2024,27.9,30,25.4,34.2,37,31.4
10 20 2024,27.9,32.2,25,33.2,37.5,30.3
10 21 2024,27.5,31.6,24.7,33,37,29.7
10 22 2024,27.6,29.6,25.1,32.7,35,30.2
10 23 2024,26.4,27.4,24.4,30.7,32.7,26.3
10 24 2024,27.3,28.8,26.4,30.6,34.8,26
10 25 2024,27.6,30.5,25.5,29.9,33.5,26.6
10 26 2024,27.1,29.8,24.5,32.4,35.6,29.4
10 27 2024,26.7,29,24.7,31.6,34.6,29.3
10 28 2024,27.3,29.7,24.5,31.7,35,28.8
10 29 2024,27.9,30,25.8,31.3,32.5,29.7
10 30 2024,27.4,29,26.1,30.3,32.3,28.1
10 31 2024,26.8,28.3,26,29.9,31.5,27.9
11 1 2024,27.2,30.9,25,32.9,38.2,30.5
11 2 2024,27.2,30.6,23.5,33.5,38.3,28.5
